t,o,h,l,c
1767697200,1.35328,1.35349,1.35175,1.35206
1767700800,1.35207,1.35292,1.35084,1.35118
1767704400,1.3512,1.35242,1.35066,1.35241
1767708000,1.3524,1.35347,1.35156,1.35253
1767711600,1.35252,1.35272,1.34939,1.35077
1767715200,1.35076,1.35096,1.34916,1.3495
1767718800,1.34948,1.35113,1.34928,1.35102
1767722400,1.35102,1.35122,1.34981,1.34986
1767726000,1.34986,1.3501,1.34926,1.35006
1767729600,1.35006,1.35062,1.34985,1.34987
1767733200,1.34986,1.3503,1.34976,1.3502
1767736800,1.35044,1.35054,1.34954,1.35013
1767740400,1.35014,1.35036,1.34996,1.34997
1767744000,1.34998,1.35049,1.34978,1.35025
1767747600,1.35026,1.35103,1.35006,1.3506
1767751200,1.35056,1.35138,1.35055,1.35104
1767754800,1.35103,1.35169,1.351,1.35143
1767758400,1.35142,1.35164,1.35044,1.35054
1767762000,1.35054,1.35099,1.3503,1.35084
1767765600,1.35084,1.35169,1.35046,1.35134
1767769200,1.35134,1.35166,1.34914,1.34926
