t,o,h,l,c
1767614400,1.16814,1.16852,1.16699,1.16708
1767618000,1.16709,1.16752,1.16592,1.16746
1767621600,1.16746,1.16874,1.16733,1.16852
1767625200,1.16852,1.17047,1.16852,1.17046
1767628800,1.17046,1.17187,1.1704,1.17149
1767632400,1.17148,1.17198,1.17101,1.17144
1767636000,1.17145,1.17254,1.17134,1.17251
1767639600,1.17252,1.17288,1.17222,1.17272
1767643200,1.17268,1.17288,1.17238,1.17248
1767646800,1.17248,1.17265,1.17196,1.17216
1767650400,1.17206,1.17232,1.17188,1.1719
1767654000,1.17191,1.17218,1.17128,1.17146
1767657600,1.17146,1.1717,1.17106,1.17168
1767661200,1.17168,1.17254,1.17122,1.17254
1767664800,1.17256,1.1738,1.17222,1.17374
1767668400,1.17374,1.17384,1.17326,1.17346
1767672000,1.17347,1.17356,1.17315,1.17338
1767675600,1.17337,1.1737,1.17273,1.17288
1767679200,1.1729,1.17372,1.17286,1.17362
1767682800,1.1736,1.17429,1.17259,1.17291
1767686400,1.1729,1.1739,1.17261,1.17286
1767690000,1.17286,1.1729,1.1708,1.17133
1767693600,1.17132,1.17172,1.17082,1.17128
1767697200,1.17126,1.17131,1.1705,1.17062
1767700800,1.17062,1.17122,1.16972,1.17014
1767704400,1.17014,1.17137,1.16975,1.1711
1767708000,1.1711,1.17176,1.16992,1.17092
1767711600,1.17092,1.17092,1.1684,1.16953
1767715200,1.16953,1.16984,1.16859,1.16881
1767718800,1.16881,1.17008,1.1687,1.17007
1767722400,1.17008,1.17022,1.1687,1.16882
1767726000,1.16884,1.16912,1.1684,1.16897
1767729600,1.16898,1.16932,1.16866,1.1687
1767733200,1.16869,1.1689,1.16846,1.16888
1767736800,1.16865,1.1689,1.16852,1.1689
1767740400,1.1689,1.16906,1.16868,1.16872
1767744000,1.16874,1.16943,1.16854,1.16918
1767747600,1.16917,1.17006,1.169,1.16958
1767751200,1.16958,1.17027,1.16953,1.16963
1767754800,1.16962,1.17003,1.16961,1.16986
1767758400,1.16987,1.17022,1.1691,1.16912
1767762000,1.16912,1.16944,1.16909,1.16931
1767765600,1.16932,1.16998,1.16922,1.16976
1767769200,1.16976,1.1699,1.16786,1.16828
